time (s),temperature (K),NO (frac)
0.0,650.0,9.979810076537464e-05
0.005025125628140704,650.0000099455633,9.979664575054632e-05
0.010050251256281407,650.0000397100706,9.979229672165027e-05
0.01507537688442211,650.0000944078212,9.978430834351768e-05
0.020100502512562814,650.0001854026933,9.977102243969964e-05
0.02512562814070352,650.000331560398,9.974968570136888e-05
0.03015075376884422,650.0005625558695,9.971596717335954e-05
0.035175879396984924,650.0009244424718,9.966314557331024e-05
0.04020100502512563,650.0014883154411,9.958084509399015e-05
0.04522613065326633,650.0023634442414,9.945311925619982e-05
0.05025125628140704,650.0037167818507,9.92556047595914e-05
0.05527638190954774,650.0058011582217,9.89514095478612e-05
0.06030150753768844,650.0089942298002,9.848543483979876e-05
0.06532663316582915,650.0138481693773,9.777713800941532e-05
0.07035175879396985,650.0211437271643,9.671267507024766e-05
0.07537688442211056,650.0319278515622,9.513947627377216e-05
0.08040201005025126,650.0474891391575,9.286995123799313e-05
0.08542713567839195,650.0691975148962,8.970507767510837e-05
0.09045226130653267,650.098140025779,8.548777454741849e-05
0.09547738693467336,650.1345878789313,8.018077758310784e-05
0.10050251256281408,650.1775439332077,7.393240517194853e-05
0.10552763819095477,650.2247541823117,6.707415297214248e-05
0.11055276381909548,650.2733260126598,6.002961855354971e-05
0.11557788944723618,650.3205935743096,5.318781095798678e-05
0.12060301507537688,650.3646948635799,4.681918294468498e-05
0.12562814070351758,650.4046661786278,4.1062435792965836e-05
0.1306532663316583,650.440233142976,3.5955547865382425e-05
0.135678391959799,650.4715401222829,3.1475575075605204e-05
0.1407035175879397,650.4989402497171,2.756941898918148e-05
0.1457286432160804,650.5228646834595,2.4172924537347655e-05
0.15075376884422112,650.5437511903207,2.122127218908453e-05
0.15577889447236182,650.5620092298743,1.8654027338899646e-05
0.16080402010050251,650.5780055535113,1.641719500765584e-05
0.1658291457286432,650.5920606288173,1.4463699874509169e-05
0.1708542713567839,650.6044504344304,1.2753089457501512e-05
0.17587939698492464,650.6154106388985,1.1250896467758758e-05
0.18090452261306533,650.6251415774894,9.92789107161007e-06
0.18592964824120603,650.6338132251549,8.759339180520855e-06
0.19095477386934673,650.6415697881044,7.724321138248898e-06
0.19597989949748745,650.6485337701151,6.805131074477684e-06
0.20100502512562815,650.6548094834299,5.986760896251469e-06
0.20603015075376885,650.660486033523,5.256464370675399e-06
0.21105527638190955,650.6656398384689,4.603392370669699e-06
0.21608040201005024,650.6703367451818,4.018290525061127e-06
0.22110552763819097,650.6746338073883,3.4932503684071777e-06
0.22613065326633167,650.6785807849686,3.021506322101664e-06
0.23115577889447236,650.6822214212992,2.597272078529049e-06
0.23618090452261306,650.6855945481194,2.2156118025426346e-06
0.24120603015075376,650.6887350709258,1.8723427500832397e-06
0.24623115577889448,650.6916748893584,1.5639678278156515e-06
0.25125628140703515,650.6944438243322,1.2876379217910775e-06
0.2562814070351759,650.6970706575576,1.0411434253200173e-06
0.2613065326633166,650.6995844603452,8.229309171520036e-07
0.2663316582914573,650.70201651189,6.321275527267503e-07
0.271356783919598,650.704403289747,4.68522926396809e-07
0.2763819095477387,650.7067911266977,3.3240185950257864e-07
0.2814070351758794,650.7092427190973,2.240728587747342e-07
0.2864321608040201,650.7118439651418,1.430223173837412e-07
0.2914572864321608,650.7147068463848,8.698918677597331e-08
0.2964824120603015,650.7179638199168,5.167108843324847e-08
0.30150753768844224,650.7217553125488,3.152273126181131e-08
0.3065326633165829,650.7262189480562,2.1143706012071784e-08
0.31155778894472363,650.7314870010714,1.6307830611299104e-08
0.3165829145728643,650.7376906516116,1.4244445492168705e-08
0.32160804020100503,650.7449662660738,1.3400909269020711e-08
0.32663316582914576,650.7534608175745,1.303206859167626e-08
0.3316582914572864,650.7633358547967,1.2831849071167732e-08
0.33668341708542715,650.7747703604908,1.2690080550862617e-08
0.3417085427135678,650.787962965308,1.256883104729922e-08
0.34673366834170855,650.8031338389295,1.2453390493178663e-08
0.35175879396984927,650.8205263957751,1.233657258699933e-08
0.35678391959798994,650.8404088286842,1.2213886727160192e-08
0.36180904522613067,650.8630754209314,1.2082127322788316e-08
0.36683417085427134,650.8888475709222,1.1938751261385623e-08
0.37185929648241206,650.9180744461171,1.1781560100456052e-08
0.3768844221105528,650.951133177511,1.1608574077052023e-08
0.38190954773869346,650.9884285069738,1.1417971374981511e-08
0.3869346733668342,651.0303918032437,1.1208122416506015e-08
0.3919597989949749,651.0774793812383,1.0977556220884577e-08
0.3969849246231156,651.1301700886213,1.07250343649288e-08
0.4020100502512563,651.1889621603632,1.0449620487121937e-08
0.40703517587939697,651.2543693852017,1.0150748340062007e-08
0.4120603015075377,651.3269166862746,9.828298998534806e-09
0.4170854271356784,651.4071352726784,9.482574329958887e-09
0.4221105527638191,651.4955575693398,9.114588261870784e-09
0.4271356783919598,651.5927121862553,8.725778017611172e-09
0.4321608040201005,651.6991192083066,8.318391305528236e-09
0.4371859296482412,651.8152861166551,7.895199673717962e-09
0.44221105527638194,651.9417046280666,7.459665443698762e-09
0.4472361809045226,652.0788487141865,7.0157399205905905e-09
